paper_id,title,year,source_url,abstract,problem,method,result,method_family_seed,method_family_final,notes,method_family_lexical,lexical_signals,classification_source
t2i_001,Generative Adversarial Text to Image Synthesis,2016,https://arxiv.org/abs/1605.05396,"Automatic synthesis of realistic images from text would be interesting and useful, but current AI systems are still far from this goal. However, in recent years generic and powerful recurrent neural network architectures have been developed to learn discriminative text feature representations. Meanwhile, deep convolutional generative adversarial networks (GANs) have begun to generate highly compelling images of specific categories, such as faces, album covers, and room interiors. In this work, we develop a novel deep architecture and GAN formulation to effectively bridge these advances in text and image modeling, translating visual concepts from characters to pixels. We demonstrate the capability of our model to generate plausible images of birds and flowers from detailed text descriptions.",Generar imágenes plausibles y realistas a partir de descripciones en lenguaje natural.,Conditional GAN con arquitectura profunda que combina representaciones discriminativas de texto con un generador convolucional para traducir conceptos visuales desde caracteres a píxeles.,Demuestra que el modelo puede generar imágenes plausibles de pájaros y flores a partir de descripciones textuales detalladas.,gan,gan,Anchor paper; modern start of text-to-image generation.,gan,gan:generative adversarial; gan:adversarial; gan:gan; gan:gans; gan:generative adversarial network,abstract
t2i_002,StackGAN: Text to Photo-realistic Image Synthesis with Stacked Generative Adversarial Networks,2017,https://arxiv.org/abs/1612.03242,"Synthesizing high-quality images from text descriptions is a challenging problem in computer vision and has many practical applications. Samples generated by existing text-to-image approaches can roughly reflect the meaning of the given descriptions, but they fail to contain necessary details and vivid object parts. In this paper, we propose Stacked Generative Adversarial Networks (StackGAN) to generate 256x256 photo-realistic images conditioned on text descriptions. We decompose the hard problem into more manageable sub-problems through a sketch-refinement process. The Stage-I GAN sketches the primitive shape and colors of the object based on the given text description, yielding Stage-I low-resolution images. The Stage-II GAN takes Stage-I results and text descriptions as inputs, and generates high-resolution images with photo-realistic details. It is able to rectify defects in Stage-I results and add compelling details with the refinement process. To improve the diversity of the synthesized images and stabilize the training of the conditional-GAN, we introduce a novel Conditioning Augmentation technique that encourages smoothness in the latent conditioning manifold. Extensive experiments and comparisons with state-of-the-arts on benchmark datasets demonstrate that the proposed method achieves significant improvements on generating photo-realistic images conditioned on text descriptions.","Generar imágenes text-to-image de mayor resolución y detalle, superando la falta de partes vívidas y detalles finos de métodos anteriores.","Stacked GAN en dos etapas con proceso sketch-refinement: una Stage-I que genera una imagen base de baja resolución y una Stage-II que la refina a 256x256 con más detalle, además de Conditioning Augmentation para estabilizar y diversificar.",Logra mejoras significativas frente al estado del arte en generación de imágenes fotorrealistas condicionadas por texto.,gan,gan,Anchor paper; multi-stage GAN refinement.,gan,gan:generative adversarial; gan:adversarial; gan:stackgan; gan:gan; gan:generative adversarial network,abstract
t2i_003,AttnGAN: Fine-Grained Text to Image Generation with Attentional Generative Adversarial Networks,2018,https://arxiv.org/abs/1711.10485,"In this paper, we propose an Attentional Generative Adversarial Network (AttnGAN) that allows attention-driven, multi-stage refinement for fine-grained text-to-image generation. With a novel attentional generative network, the AttnGAN can synthesize fine-grained details at different subregions of the image by paying attentions to the relevant words in the natural language description. In addition, a deep attentional multimodal similarity model is proposed to compute a fine-grained image-text matching loss for training the generator. The proposed AttnGAN significantly outperforms the previous state of the art, boosting the best reported inception score by 14.14% on the CUB dataset and 170.25% on the more challenging COCO dataset. A detailed analysis is also performed by visualizing the attention layers of the AttnGAN. It for the first time shows that the layered attentional GAN is able to automatically select the condition at the word level for generating different parts of the image.",Generar imágenes text-to-image con detalles finos y mejor alineación entre palabras y regiones visuales.,GAN multietapa con mecanismo de atención guiado por palabras relevantes y una pérdida multimodal fina para alinear imagen y texto durante el entrenamiento.,"Supera significativamente al estado del arte previo, mejorando mucho el inception score en CUB y COCO.",gan,gan,Anchor paper; attention over text regions.,gan,gan:generative adversarial; gan:adversarial; gan:attngan; gan:gan; gan:generative adversarial network,abstract
t2i_004,Zero-Shot Text-to-Image Generation,2021,https://arxiv.org/abs/2102.12092,"Text-to-image generation has traditionally focused on finding better modeling assumptions for training on a fixed dataset. These assumptions might involve complex architectures, auxiliary losses, or side information such as object part labels or segmentation masks supplied during training. We describe a simple approach for this task based on a transformer that autoregressively models the text and image tokens as a single stream of data. With sufficient data and scale, our approach is competitive with previous domain-specific models when evaluated in a zero-shot fashion.",Generar imágenes a partir de texto en zero-shot sin depender de supuestos específicos de dominio ni de información auxiliar durante el entrenamiento.,Transformer autoregresivo que modela conjuntamente tokens de texto e imagen como una única secuencia de datos.,"Con suficiente escala y datos, resulta competitivo frente a modelos específicos de dominio en evaluación zero-shot.",autoregressive,autoregressive,DALL·E paper; autoregressive shift.,autoregressive,autoregressive:autoregressive; autoregressive:tokens; autoregressive:token,abstract
t2i_005,GLIDE: Towards Photorealistic Image Generation and Editing with Text-Guided Diffusion Models,2021,https://arxiv.org/abs/2112.10741,"Diffusion models have recently been shown to generate high-quality synthetic images, especially when paired with a guidance technique to trade off diversity for fidelity. We explore diffusion models for the problem of text-conditional image synthesis and compare two different guidance strategies: CLIP guidance and classifier-free guidance. We find that the latter is preferred by human evaluators for both photorealism and caption similarity, and often produces photorealistic samples. Samples from a 3.5 billion parameter text-conditional diffusion model using classifier-free guidance are favored by human evaluators to those from DALL-E, even when the latter uses expensive CLIP reranking. Additionally, we find that our models can be fine-tuned to perform image inpainting, enabling powerful text-driven image editing.",Generar y editar imágenes fotorrealistas condicionadas por texto con buena fidelidad visual y buena similitud con el caption.,Modelo de difusión guiado por texto que compara CLIP guidance frente a classifier-free guidance y permite ajuste fino para inpainting.,"Classifier-free guidance es preferido por evaluadores humanos en fotorealismo y similitud con el caption, superando incluso a DALL·E con CLIP reranking costoso.",diffusion,diffusion,Early diffusion anchor.,diffusion,autoregressive:dall-e; diffusion:classifier-free guidance; diffusion:diffusion,abstract
t2i_006,High-Resolution Image Synthesis with Latent Diffusion Models,2021,https://arxiv.org/abs/2112.10752,"By decomposing the image formation process into a sequential application of denoising autoencoders, diffusion models (DMs) achieve state-of-the-art synthesis results on image data and beyond. Additionally, their formulation allows for a guiding mechanism to control the image generation process without retraining. However, since these models typically operate directly in pixel space, optimization of powerful DMs often consumes hundreds of GPU days and inference is expensive due to sequential evaluations. To enable DM training on limited computational resources while retaining their quality and flexibility, we apply them in the latent space of powerful pretrained autoencoders. In contrast to previous work, training diffusion models on such a representation allows for the first time to reach a near-optimal point between complexity reduction and detail preservation, greatly boosting visual fidelity. By introducing cross-attention layers into the model architecture, we turn diffusion models into powerful and flexible generators for general conditioning inputs such as text or bounding boxes and high-resolution synthesis becomes possible in a convolutional manner. Our latent diffusion models (LDMs) achieve a new state of the art for image inpainting and highly competitive performance on various tasks, including unconditional image generation, semantic scene synthesis, and super-resolution, while significantly reducing computational requirements compared to pixel-based DMs.",Reducir el coste computacional de los modelos de difusión sin sacrificar calidad ni flexibilidad para condicionamiento.,"Modelo de difusión en espacio latente de autoencoders preentrenados, con capas de cross-attention para conditioning general como texto o bounding boxes.","Logra alta fidelidad visual y rendimiento muy competitivo en varias tareas, reduciendo de forma significativa el coste respecto a modelos de difusión en píxel.",diffusion,diffusion,Latent diffusion / Stable Diffusion base.,diffusion,diffusion:latent diffusion; diffusion:denoising; diffusion:diffusion; diffusion:ldm,abstract
t2i_007,Photorealistic Text-to-Image Diffusion Models with Deep Language Understanding,2022,https://arxiv.org/abs/2205.11487,"We present Imagen, a text-to-image diffusion model with an unprecedented degree of photorealism and a deep level of language understanding. Imagen builds on the power of large transformer language models in understanding text and hinges on the strength of diffusion models in high-fidelity image generation. Our key discovery is that generic large language models (e.g. T5), pretrained on text-only corpora, are surprisingly effective at encoding text for image synthesis: increasing the size of the language model in Imagen boosts both sample fidelity and image-text alignment much more than increasing the size of the image diffusion model. Imagen achieves a new state-of-the-art FID score of 7.27 on the COCO dataset, without ever training on COCO, and human raters find Imagen samples to be on par with the COCO data itself in image-text alignment. To assess text-to-image models in greater depth, we introduce DrawBench, a comprehensive and challenging benchmark for text-to-image models. With DrawBench, we compare Imagen with recent methods including VQ-GAN+CLIP, Latent Diffusion Models, and DALL-E 2, and find that human raters prefer Imagen over other models in side-by-side comparisons, both in terms of sample quality and image-text alignment.",Generar imágenes text-to-image con fotorealismo muy alto y una comprensión profunda del lenguaje.,Modelo de difusión text-to-image que se apoya en grandes modelos transformer de lenguaje para codificar el texto y en difusión para la síntesis visual.,Alcanza nuevo estado del arte en FID sobre COCO sin entrenar en COCO y es preferido por evaluadores humanos en calidad e alineación texto-imagen frente a métodos recientes.,diffusion,diffusion,Imagen paper.,diffusion,gan:gan; autoregressive:dall-e; diffusion:latent diffusion; diffusion:diffusion; diffusion:imagen,abstract
t2i_008,Hierarchical Text-Conditional Image Generation with CLIP Latents,2022,https://arxiv.org/abs/2204.06125,"Contrastive models like CLIP have been shown to learn robust representations of images that capture both semantics and style. To leverage these representations for image generation, we propose a two-stage model: a prior that generates a CLIP image embedding given a text caption, and a decoder that generates an image conditioned on the image embedding. We show that explicitly generating image representations improves image diversity with minimal loss in photorealism and caption similarity. Our decoders conditioned on image representations can also produce variations of an image that preserve both its semantics and style, while varying the non-essential details absent from the image representation. Moreover, the joint embedding space of CLIP enables language-guided image manipulations in a zero-shot fashion. We use diffusion models for the decoder and experiment with both autoregressive and diffusion models for the prior, finding that the latter are computationally more efficient and produce higher-quality samples.",Generar imágenes text-to-image con alta diversidad y buena fidelidad semántica aprovechando representaciones robustas de CLIP.,Modelo en dos etapas: un prior que genera embeddings de imagen CLIP a partir del caption y un decoder condicionado por esos embeddings; el decoder usa difusión y se evalúan priors autoregresivos y de difusión.,"Mejora la diversidad con pérdida mínima en fotorealismo y similitud al caption, y permite variaciones semánticamente consistentes y manipulación guiada por lenguaje.",diffusion,diffusion,DALL·E 2 paper.,other,autoregressive:autoregressive; diffusion:diffusion,abstract
t2i_009,Scalable Diffusion Models with Transformers,2023,https://arxiv.org/abs/2212.09748,"We explore a new class of diffusion models based on the transformer architecture. We train latent diffusion models of images, replacing the commonly-used U-Net backbone with a transformer that operates on latent patches. We analyze the scalability of our Diffusion Transformers (DiTs) through the lens of forward pass complexity as measured by Gflops. We find that DiTs with higher Gflops -- through increased transformer depth/width or increased number of input tokens -- consistently have lower FID. In addition to possessing good scalability properties, our largest DiT-XL/2 models outperform all prior diffusion models on the class-conditional ImageNet 512x512 and 256x256 benchmarks, achieving a state-of-the-art FID of 2.27 on the latter.",Escalar modelos de difusión mejorando el backbone para obtener mejor rendimiento y mejor escalabilidad.,Diffusion Transformer (DiT): modelo de difusión latente que sustituye el U-Net habitual por un transformer que opera sobre patches latentes.,"Los modelos DiT más grandes mejoran consistentemente el FID y superan a modelos de difusión previos en benchmarks ImageNet, alcanzando estado del arte.",diffusion_transformer_or_hybrid,diffusion_transformer_or_hybrid,DiT anchor.,diffusion,autoregressive:tokens; autoregressive:token; diffusion:latent diffusion; diffusion:diffusion; diffusion:imagen; diffusion_transformer_or_hybrid:diffusion transformer,abstract
t2i_010,SDXL: Improving Latent Diffusion Models for High-Resolution Image Synthesis,2023,https://arxiv.org/abs/2307.01952,"We present SDXL, a latent diffusion model for text-to-image synthesis. Compared to previous versions of Stable Diffusion, SDXL leverages a three times larger UNet backbone: The increase of model parameters is mainly due to more attention blocks and a larger cross-attention context as SDXL uses a second text encoder. We design multiple novel conditioning schemes and train SDXL on multiple aspect ratios. We also introduce a refinement model which is used to improve the visual fidelity of samples generated by SDXL using a post-hoc image-to-image technique. We demonstrate that SDXL shows drastically improved performance compared the previous versions of Stable Diffusion and achieves results competitive with those of black-box state-of-the-art image generators. In the spirit of promoting open research and fostering transparency in large model training and evaluation, we provide access to code and model weights at https://github.com/Stability-AI/generative-models.",Mejorar la síntesis text-to-image de alta resolución frente a versiones previas de Stable Diffusion.,"Latent diffusion model con backbone UNet tres veces mayor, más bloques de atención, un segundo text encoder, nuevos esquemas de conditioning, entrenamiento multi-aspect-ratio y un refinador post-hoc image-to-image.",Muestra mejoras drásticas frente a versiones anteriores de Stable Diffusion y resultados competitivos con generadores black-box de estado del arte.,diffusion,diffusion,SDXL anchor.,diffusion,diffusion:latent diffusion; diffusion:diffusion,abstract
